# t	global_u	local_u	bI	η	τs	τc	γI	Λ	∂Λ	idx
63.09573444801929	0.029492537779922348	0.029492537779922348	20159.23988779608	4955.582416603195	152.04352	650.11712	0.0	0.17823957765835852	-0.0001267938370859198	40.0
100.0	0.0313231755300253	0.0313231755300253	40455.32707501507	10148.601255397025	304.08704	1342.17728	0.0	0.17337112556634757	-6.799458268321647e-5	41.0
158.48931924611108	0.032768950993356895	0.032768950993356895	84132.94718778245	21434.563730623737	629.1456000000001	2684.35456	0.0	0.16931206303817953	-3.397296007121952e-5	42.0
251.1886431509582	0.03387077051832783	0.03387077051832783	180055.26476914002	46401.455906533905	1342.17728	5704.25344	0.0	0.1661285043086071	-1.6203277583122836e-5	43.0
398.10717055349687	0.034686734037033665	0.034686734037033665	394173.1440875987	102428.11843130732	2852.12672	12750.68416	0.0	0.16373391858619432	-7.485046573482229e-6	44.0
630.9573444801943	0.03527746472840454	0.03527746472840454	878237.7969042867	229568.8313510592	6375.34208	28185.72288	0.0	0.1619853221360249	-3.3806474415325227e-6	45.0
1000.0	0.035697672850647344	0.035697672850647344	1.9831926347654404e6	520560.53411323245	14092.86144	64424.50944000001	0.0	0.16073538737754442	-1.5025163802169092e-6	46.0
1584.8931924611109	0.03599259790341726	0.03599259790341726	4.523568386064161e6	1.1908140895185058e6	32212.254720000004	150323.85536000002	0.0	0.15985560941722457	-6.601375114809723e-7	47.0
2511.886431509582	0.036197523121725944	0.036197523121725944	1.0394704357623423e7	2.74184398689043e6	75161.92768000001	343597.38368	0.0	0.1592432589119856	-2.8765431001551296e-7	48.0
3981.071705534969	0.03633886290624304	0.03633886290624304	2.401497018273251e7	6.343203740446433e6	171798.69184	773094.11328	0.0	0.1588204665121828	-1.2461072816738392e-7	49.0
6309.573444801943	0.03643582333224187	0.03643582333224187	5.569754970764389e7	1.4725511239375563e7	408021.89312	1.80388626432e6	0.0	0.1585302339054263	-5.3756068345304314e-8	50.0
10000.0	0.036502081660921844	0.036502081660921844	1.295375110784691e8	3.426950832429539e7	944892.80512	4.294967296e6	0.0	0.15833181734592275	-2.312142933798743e-8	51.0
15848.931924611108	0.0365472340795218	0.0365472340795218	3.018662840572545e8	7.989436226304929e7	2.147483648e6	9.96432412672e6	0.0	0.158196566608376	-9.924118083337106e-9	52.0
25118.86431509582	0.03657794281673448	0.03657794281673448	7.044433905703546e8	1.8649885661420926e8	5.1539607552000005e6	2.336462209024e7	0.0	0.15810456391991845	-4.253282850437532e-9	53.0
39810.71705534969	0.03659879879031152	0.03659879879031152	1.6455620592265613e9	4.357441735611249e8	1.168231104512e7	5.49755813888e7	152.8964611004867	0.15804207224336142	-1.8209527801651377e-9	54.0
63095.73444801942	0.036612948981282506	0.036612948981282506	3.8467541581633315e9	1.0187577658336242e9	2.74877906944e7	1.2644383719424e8	154.5594488241542	0.1579996699305745	-7.790172229438537e-10	55.0
100000.0	0.03662254259294435	0.03662254259294435	8.997032564194296e9	2.382955329098739e9	6.597069766656001e7	2.9686813949952e8	155.2762369503674	0.15797092023623832	-3.3308984190745455e-10	56.0
158489.3192461111	0.03662904354965744	0.03662904354965744	2.1050724385592102e10	5.575846625848375e9	1.5393162788864002e8	7.0368744177664e8	155.67636565966086	0.15795143774790774	-1.4236609247133156e-10	57.0
251188.6431509582	0.03663344716647398	0.03663344716647398	4.926646092207563e10	1.3050090895814304e10	3.5184372088832e8	1.58329674399744e9	155.92819837189907	0.15793824037476373	-6.083184222216164e-11	58.0
398107.1705534969	0.036636429287061754	0.036636429287061754	1.1532568233401994e11	3.0549258227283916e10	8.3562883710976e8	3.69435906932736e9	156.09489414994812	0.15792930298943136	-2.598736187666578e-11	59.0
630957.3444801943	0.036638448353146724	0.036638448353146724	2.6999628442746896e11	7.152224913930362e10	1.93514046488576e9	8.796093022208e9	156.2111274529306	0.1579232517999478	-1.1100292468953403e-11	60.0
1.0e6	0.03663981519660645	0.03663981519660645	6.321860882598485e11	1.674699562823443e11	4.573968371548161e9	2.1110623253299202e10	156.27317841603755	0.1579191553058381	-4.740781805399432e-12	61.0
1.584893192461111e6	0.036640740388102	0.036640740388102	1.4803384801432832e12	3.921595240422325e11	1.0555311626649601e10	4.785074604081152e10	156.320000459185	0.15791638244901968	-2.0245835075740585e-12	62.0
2.511886431509582e6	0.03664136659167063	0.03664136659167063	3.4666827220764966e12	9.183867468195073e11	2.533274790395904e10	1.125899906842624e11	156.3566366341471	0.15791450567113333	-8.645375462265554e-13	63.0
3.981071705534969e6	0.03664179039315228	0.03664179039315228	8.11824437072165e12	2.1506633769798928e12	5.910974510923776e10	2.702159776422298e11	156.37081382013872	0.15791323550408431	-3.6917872741411094e-13	64.0
6.309573444801942e6	0.03664207721646443	0.03664207721646443	1.897075965823995e13	4.991111589571189e12	1.351079888211149e11	6.305039478318695e11	156.3960135677962	0.15791237587021548	-1.5798455471396547e-13	65.0
1.0e7	0.03664227174881957	0.03664227174881957	4.234796170547409e13	1.0600793298388275e13	3.2651097298436096e11	1.4411518807585588e12	156.40248925523997	0.15791179283956314	-7.077293771467004e-14	66.0
1.5848931924611108e7	0.03664240986483954	0.03664240986483954	8.243817325277464e13	1.8823544559639586e13	8.106479329266893e11	1.4411518807585588e12	156.40708484091465	0.1579113788933396	-3.635562763294479e-14	67.0
2.511886431509582e7	0.03664252231192594	0.03664252231192594	1.3879771063223061e14	2.8690143260293848e13	1.4411518807585588e12	1.4411518807585588e12	156.41082505563804	0.1579110418790434	-2.1593245601468457e-14	68.0
