# τ	Fs	F	Δζ	ΔG	Δr²
0.14848	0.7730631494034518	0.7932636175723308	278.6560689224834	53.724115189685755	0.003161647989966267
0.15360000000000001	0.7715150685200901	0.7918127594998062	276.78785301424733	53.47528087579573	0.003189296469307462
0.15872	0.7700252931192367	0.7904159670636819	275.0071474287664	53.23740835353163	0.003216036187598718
0.16384	0.7685900192866579	0.7890697387029527	273.3071919174747	53.009685700515305	0.0032419214410911532
0.17408	0.7658877690189315	0.7865335601715583	270.149276658359	52.5847140356725	0.0032909855948685695
0.18432	0.7633581199983415	0.7841577766904586	267.2386602550096	52.19128850604861	0.0033373322058763604
0.19456	0.7609836248332749	0.7819262606421397	264.54616874936806	51.82569221402309	0.003381186539495518
0.2048	0.7587496921437309	0.779825544795473	262.04718153923994	51.48491002005956	0.003422758301018527
0.21504	0.756642710584976	0.7778430501790838	259.7198159480819	51.16624925887139	0.0034622516633744205
0.22528	0.7546506494004528	0.7759676528396153	257.5451694891694	50.86737171571459	0.003499847192844218
0.23552	0.7527628748631676	0.7741895073758105	255.50700685704595	50.586251639382525	0.003535707218939768
0.24576000000000003	0.7509701347962794	0.7725000443624629	253.59138923324454	50.32114505412743	0.0035699730568345732
0.256	0.7492642451320898	0.7708916749636686	251.78627113591756	50.070534403469885	0.0036027717492834125
0.26624000000000003	0.7476380352212679	0.7693577481699252	250.0812125322744	49.833101569529305	0.003634214627151921
0.27648	0.7460851153337097	0.7678923311552183	248.4670993223035	49.607688578648734	0.0036644023827921367
0.28672000000000003	0.7445998374117767	0.7664901784948692	246.9359502004612	49.39327951271772	0.003693424016213768
0.29696	0.7431771297285765	0.7651465755047481	245.48072950757617	49.188973589813514	0.0037213605604053514
0.30720000000000003	0.741812473687515	0.7638573208424302	244.09521978588046	48.993973498309295	0.0037482841901286135
0.31744	0.7405017839577871	0.7626186126339347	242.773893256779	48.80756652453698	0.0037742610132219107
0.32768	0.7392413948990711	0.7614270389819551	241.5118255217256	48.62911685422769	0.003799350319717704
0.34816	0.7368769778897226	0.7591905310059895	239.16778244295827	48.29645807287674	0.0038467105226686945
0.36864	0.7346688893667541	0.757100722301883	237.0036640580639	47.988244878962504	0.0038912964619486796
0.38912	0.7326020939391176	0.7551435678351452	234.99971600987385	47.701804704352654	0.003933328568511803
0.4096	0.7306629268002123	0.7533063225851232	233.13820145388576	47.434819385318846	0.003973032197088156
0.43008	0.7288385612637505	0.7515770055894262	231.4031442226221	47.185179398539056	0.004010625282246438
0.45056	0.727117715769268	0.7499450731444862	229.78071668162613	46.951050029475276	0.004046299701981069
0.47104	0.7254904988941806	0.7484012695771526	228.25903483953473	46.73084345660341	0.004080226392783225
0.49152000000000007	0.7239483276303332	0.7469375609750257	226.8278830665024	46.52319197927202	0.004112553940752593
0.512	0.7224836538681709	0.745546875005207	225.4784262283058	46.32690586915025	0.004143414936506574
0.5324800000000001	0.7210898774926359	0.7442230261161294	224.20299863123836	46.1409511275098	0.004172925436713038
0.55296	0.7197611473471277	0.7429605257281064	222.99490399433654	45.96441976270147	0.004201189698280437
0.5734400000000001	0.7184922996771366	0.7417545291380037	221.84827258399977	45.796514701066094	0.004228299793584563
0.59392	0.7172787190339596	0.7406007024887087	220.75792736917677	45.63652952432663	0.004254339030702954
0.6144000000000001	0.7161162990313492	0.7394951893089388	219.7192894752318	45.48383865023596	0.004279381557930836
0.63488	0.7150013426069113	0.7384345148860966	218.72828605240915	45.33788314113002	0.0043034948976392534
0.65536	0.7139305364523337	0.7374155647628713	217.78128601161526	45.19816414556508	0.0043267395733929915
0.69632	0.7119268279675544	0.7355080797109956	216.02243666204578	44.93792326964209	0.00437046925351882
0.73728	0.7100583843435384	0.733728571901011	214.39625338262744	44.696647827412235	0.00441152168063016
0.77824	0.7083129319299912	0.7320654763673279	212.8891913359507	44.472420342576285	0.004450101705853092
0.8192	0.7066782682509635	0.7305073065669296	211.48822368966788	44.2634358129604	0.004486437456279821
0.86016	0.7051429666303474	0.7290432896249865	210.18152505172716	44.06803760889457	0.004520746983816078
0.90112	0.703697027392626	0.7276639932593323	208.95885314470613	43.88478637906027	0.004553221466983597
0.94208	0.702331734768002	0.7263611882550003	207.8114011345213	43.71243831903161	0.004584029851543324
0.9830400000000001	0.7010395356765268	0.7251277415358651	206.7315835400997	43.549921238782176	0.004613318832917779
1.024	0.6998138172596424	0.7239574028510489	205.71285147321223	43.396303417432165	0.004641218427822169
1.0649600000000001	0.6986488029596121	0.7228447114728204	204.7495040771144	43.2507745263049	0.004667842345591386
1.10592	0.6975393903411894	0.7217848404542495	203.8365621692458	43.11262340496299	0.004693292133964742
1.1468800000000001	0.6964810798391332	0.7207735325618575	202.96965736448962	42.981225412378656	0.004717657423076455
1.18784	0.6954698631092096	0.7198069928057205	202.1449351655073	42.85602731173509	0.004741018870222857
1.2288000000000001	0.6945021762284961	0.7188818465661352	201.35898376025315	42.73653892879431	0.004763448233403844
1.26976	0.6935748202573819	0.7179950629632655	200.60876723638881	42.62232258108987	0.00478501052990449
1.31072	0.6926849298309786	0.717143926905059	199.8915770305836	42.512987453571974	0.004805764019642039
1.39264	0.6910225866050433	0.7155534521297301	198.5594133966497	42.309453064040866	0.004844703275765438
1.47456	0.6894738608582784	0.7140711725844529	197.32627520481623	42.12064539486624	0.0048811765500210765
1.55648	0.6880289917235787	0.7126878295737716	196.18271719699217	41.94518029523675	0.004915367116446484
1.6384	0.6866774561510308	0.7113934412224049	195.1190148347106	41.781643843978785	0.004947493765009666
1.72032	0.6854094684857229	0.7101787122018248	194.12631137889568	41.62873716992865	0.00497776290188753
1.80224	0.6842164954454412	0.7090355339373886	193.196934289238	41.485333267130024	0.005006354892912688
1.88416	0.6830911274661604	0.7079568606364737	192.32428376236848	41.35045932129188	0.005033428076446234
1.9660800000000003	0.6820269477791562	0.7069365895833563	191.50267395796118	41.22327630516391	0.005059119809737981
2.048	0.6810183529330744	0.7059693883098993	190.72718159862163	41.10305528860862	0.005083551194866743
2.1299200000000003	0.6800604505412767	0.705050600442178	189.99352745094524	40.9891620472871	0.005106828083942597
2.21184	0.6791489304532734	0.7041761214807016	189.2979700740104	40.88104035605179	0.005129044543902878
2.2937600000000002	0.6782799928533099	0.7033423325275835	188.63722429016067	40.77820136953087	0.005150283577187102
2.37568	0.6774502606356503	0.7025460156287436	188.0083904217712	40.68021238218999	0.005170619543271814
2.4576000000000002	0.676656730386214	0.701784308707735	187.40889467259535	40.586689583098504	0.005190118607176301
2.53952	0.6758967145428074	0.7010546493672319	186.83646000301027	40.49729090429098	0.0052088404329639765
2.62144	0.6751678053824499	0.7003547419092616	186.2890421727811	40.41171055907538	0.005226838488146031
2.78528	0.6738077372745037	0.6990484551344542	185.2720470700358	40.25245010241276	0.005260539438887176
2.94912	0.672541333038618	0.6978318081101691	184.32975887197367	40.10464318569027	0.005292051000357609
3.11296	0.6713608999165885	0.6966974661487925	183.4554631993392	39.96727803555936	0.005321532860453906
3.2768	0.6702575895738664	0.6956369844692242	182.6418073331999	39.83924472436391	0.005349185534888233
3.44064	0.6692232353763093	0.6946425606892124	181.8820926632503	39.71952645908149	0.005375195907347242
3.60448	0.6682507291399284	0.6937074023311532	181.17051573954566	39.60724163398728	0.005399726903865733
3.76832	0.6673339129965745	0.6928256221074479	180.50208311624874	39.50162978748644	0.005422920820676782
3.9321600000000005	0.6664674548070842	0.691992121601597	179.87248908995994	39.40203457863489	0.005444901038060248
4.096	0.6656467072776047	0.6912024552162601	179.27800418540758	39.307886085212694	0.005465775871237314
4.2598400000000005	0.6648676133957316	0.690452741644026	178.71538447381866	39.218688152600606	0.005485639969324785
4.42368	0.6641266052731605	0.6897395661067828	178.1817929517091	39.13400586713381	0.005504577121836112
4.5875200000000005	0.6634205376270544	0.6890599180417127	177.67473683433053	39.053456781643675	0.005522661254425337
4.75136	0.6627466196376064	0.6884111251491516	177.1920153800561	38.97670254118721	0.005539958361370585
4.9152000000000005	0.6621023705017717	0.6877908118139563	176.73167797287604	38.903443041554716	0.005556527142689619
5.07904	0.6614855715275932	0.6871968526713401	176.29198809005837	38.833410596553314	0.0055724203928264335
5.24288	0.6608942356753327	0.6866273441540219	175.87139453785753	38.766365946256144	0.005587685416132974
5.57056	0.659791711746896	0.6855653086212431	175.0898393859912	38.64162045392311	0.005616225638097997
5.89824	0.6587654817185291	0.6845765667532547	174.36515364160982	38.52580121825523	0.005642876103642346
6.22592	0.6578094917698061	0.6836553225373103	173.69247018424073	38.418157672108805	0.005667773325602916
6.5536	0.6569164309273675	0.6827945656541672	173.06617135602536	38.317817825989735	0.005691094528728803
6.88128	0.656079597280161	0.6819878652964432	172.48115749826925	38.223986423153605	0.005713003183285321
7.20896	0.6552931597523242	0.6812296258610213	171.93300067322727	38.13597366097183	0.005733641632976038
7.53664	0.6545520740376707	0.6805150050662953	171.41789215465786	38.05318477420241	0.005753133733569324
7.864320000000001	0.653851972223414	0.6798398095550654	170.93254550501732	37.97510611733153	0.0057715868493420286
8.192	0.6531890526383054	0.6792003883753506	170.47411355390744	37.90129186704519	0.005789094928461112
8.519680000000001	0.6525599965626497	0.6785935541238676	170.0401182707929	37.831353706291054	0.005805740055438465
8.84736	0.651961889051028	0.6780165063422583	169.62839209623004	37.76495138795567	0.005821594683800698
9.175040000000001	0.6513921603382088	0.677466776016365	169.2370292939591	37.70178555706651	0.005836722736499987
9.50272	0.6508485329143959	0.676942174315934	168.8643471581503	37.6415914778644	0.005851181123874114
9.830400000000001	0.6503289821728566	0.6764407553485267	168.50885340409013	37.58413423205424	0.0058650204676007674
10.15808	0.6498316993502599	0.6759607802233796	168.16921937100975	37.52920435712757	0.005878286182815557
10.48576	0.6493550644165563	0.6755006914128335	167.84425757994006	37.47661454913897	0.005891018965473966
11.14112	0.6484668493636642	0.6746431814830435	167.2402617394644	37.378769846516605	0.005914798270616862
11.79648	0.6476402878423873	0.6738450715074762	166.67987457095887	37.28789681379277	0.005936980867024947
12.45184	0.6468706136032283	0.673101782656534	166.15951329088162	37.20343128045037	0.005957681667185127
13.1072	0.646151863113702	0.6724075765619378	165.6748598212792	37.12468856611712	0.005977052864922506
13.76256	0.6454785889663786	0.6717572094843094	165.2219937962111	37.051045641524006	0.005995233916573308
14.41792	0.6448460549096237	0.6711461220351765	164.79751769664827	36.98196229407178	0.006012346137308238
15.07328	0.6442501684210363	0.6705703735504652	164.39850740243475	36.91697291153737	0.006028494786557667
15.728640000000002	0.6436873855541061	0.6700265513227243	164.02243808917245	36.85567515987448	0.006043771098071182
16.384	0.6431546248441964	0.6695116872829576	163.667122094086	36.797719943523745	0.006058254711464075
17.039360000000002	0.6426491962225058	0.6690231901725957	163.33065433611856	36.74280305762844	0.006072015206189745
17.69472	0.6421687390502104	0.6685587855557548	163.01136822250155	36.69065803917517	0.006085113862610997
18.350080000000002	0.6417111690694539	0.6681164652278744	162.70779316820474	36.64104997155696	0.006097604805736929
19.00544	0.6412746470659599	0.667694456536672	162.41864196754446	36.59377199013384	0.006109536006899526
19.660800000000002	0.640857534513451	0.6672911803158702	162.1427636011716	36.54863997518708	0.006120950191719244
20.31616	0.640458368480158	0.6669052263454555	161.8791349682584	36.505489807453685	0.006131885628006034
20.97152	0.6400758387011194	0.6665353315052246	161.62684142212282	36.46417468914698	0.006142376608824033
22.28224	0.6393632183667585	0.6658461696900219	161.15779211439317	36.38730484087093	0.006161953458629468
23.59296	0.6387001611898706	0.6652048640115944	160.72239735696377	36.315892579440906	0.006180202385292551
24.90368	0.6380829017328385	0.6646077873531993	160.3179678479918	36.249507993922435	0.0061972190236658075
26.2144	0.6375066140567942	0.6640502839608464	159.94116697916834	36.18761314068812	0.0062131313723257225
27.52512	0.6369669033016112	0.6635281131276408	159.58896911160002	36.129719663989235	0.006228056145435525
